date, pm25, pm10, no2, co
2023/3/18, 53, 33, 24, 1
2023/3/19, 46, 43, 27, 2
2023/3/20, 62, 54, 35, 2
2023/3/21, 83, 72, 36, 3
2023/3/22, 126, 59, 31, 3
2023/3/23, 96, 56, 32, 1
2023/3/24, 87, , , 
2023/3/27, 33, 34, 31, 2
2023/3/28, 47, 26, 36, 3
2023/3/29, 37, 40, 41, 3
2023/3/30, 59, 60, 50, 5
2023/3/31, 99, 46, 32, 3
2022/12/21, 87, 64, 3, 3
2022/12/22, 105, 64, 4, 3
2022/12/23, 102, , , 
2022/12/25, 73, 59, 11, 5
2022/12/26, 88, 52, 8, 6
2022/12/27, 76, 77, 2, 2
2022/12/28, 124, 50, 1, 1
2022/12/29, 74, 36, 3, 2
2022/12/30, 47, , , 
2022/1/3, 173, 77, 17, 7
2022/1/4, 141, 48, 12, 2
2022/1/5, 86, 40, 6, 1
2022/1/6, 71, 39, 9, 1
2022/1/7, 70, 47, 6, 2
2022/1/8, 85, 31, 4, 2
2022/1/9, 60, 36, 3, 3
2022/1/10, 68, 8, 14, 4
2022/1/11, 13, 37, 21, 6
2022/1/12, 51, 53, 16, 5
2022/1/13, 82, 70, 36, 8
2022/1/14, 125, 82, 20, 9
2022/1/15, 141, 53, 15, 7
2022/1/16, 96, 12, 10, 5
2022/1/17, 13, 23, 19, 8
2022/1/18, 32, 35, 23, 7
2022/1/19, 43, 39, 23, 6
2022/1/20, 67, 74, 27, 9
2022/1/21, 144, 56, 15, 9
2022/1/22, 111, , , 
2021/10/1, 40, 32, 7, 2
2021/10/2, 46, 46, 7, 2
2021/10/3, 65, 44, 12, 4
2021/10/4, 65, 38, 8, 3
2021/10/5, 51, 36, 8, 3
2021/10/6, 50, 51, 9, 4
2021/10/7, 76, 50, 11, 2
2021/10/8, 79, 43, 8, 1
2021/10/9, 63, 18, 5, 1
2021/10/10, 26, 9, 6, 2
2021/10/11, 14, 15, 9, 1
2021/10/12, 21, 16, 7, 1
2021/10/13, 23, 21, 7, 1
2021/10/14, 27, 20, 7, 1
2021/10/15, 25, 19, 6, 1
2021/10/16, 26, 19, 5, 2
2021/10/17, 25, 19, 7, 2
2021/10/18, 32, 29, 9, 4
2021/10/19, 45, 36, 6, 3
2021/10/20, 67, 26, 3, 2
2021/10/21, 42, 11, 3, 1
2021/10/22, 16, 26, 6, 2
2021/10/23, 40, 31, 4, 2
2021/10/24, 45, 42, 7, 5
2021/10/25, 72, 57, 10, 4
2021/10/26, 108, 68, 10, 6
2021/10/27, 127, 41, 7, 3
2021/10/28, 79, 12, 7, 4
2021/10/29, 23, 16, 4, 2
2021/10/30, 28, 34, 4, 4
2021/10/31, 62, 14, 4, 4
2021/11/1, 25, 26, 5, 3
2021/11/2, 36, 31, 10, 5
2021/11/3, 45, 22, 7, 2
2021/11/4, 36, 24, 4, 1
2021/11/5, 41, 30, 5, 2
2021/11/6, 48, 27, 4, 2
2021/11/7, 45, 17, 2, 1
2021/11/8, 22, 22, 6, 2
2021/11/9, 30, 11, 6, 3
2021/11/10, 15, 37, 7, 3
2021/11/11, 55, 47, 6, 2
2021/11/12, 80, 37, 3, 2
2021/11/13, 58, 46, 7, 3
2021/11/14, 77, 54, 6, 3
2021/11/15, 101, 53, 8, 4
2021/11/16, 103, 41, 3, 2
2021/11/17, 77, 26, 5, 3
2021/11/18, 43, 58, 6, 3
2021/11/19, 115, 53, 14, 4
2021/11/20, 102, 35, 7, 2
2021/11/21, 55, 9, 3, 1
2021/11/22, 14, 12, 5, 1
2021/11/23, 17, 29, 8, 2
2021/11/24, 37, 37, 12, 3
2021/11/25, 51, , , 
2021/11/27, 66, 49, 19, 7
2021/11/28, 78, 73, 16, 6
2021/11/29, 145, , , 
2021/12/18, 66, 53, 9, 2
2021/12/19, 85, 69, 9, 2
2021/12/20, 134, 14, 21, 5
2021/12/21, 20, 19, 14, 4
2021/12/22, 30, 15, 16, 2
2021/12/23, 24, 22, 14, 3
2021/12/24, 39, 45, 12, 4
2021/12/25, 67, 41, 13, 2
2021/12/30, 38, 39, 8, 3
2021/12/31, 68, 52, 4, 3
2022/1/1, 98, , , 
2021/7/5, 7, , , 
2021/7/10, 18, 17, 11, 3
2021/7/11, 22, 18, 12, 3
2021/7/12, 23, 18, 8, 2
2021/7/13, 25, 11, 7, 2
2021/7/14, 16, 12, 10, 2
2021/7/15, 16, 14, 9, 2
2021/7/16, 19, 19, 10, 3
2021/7/17, 25, 21, 14, 2
2021/7/18, 29, 28, 9, 3
2021/7/19, 37, 42, 13, 3
2021/7/20, 54, 23, 10, 2
2021/7/21, 32, 40, 10, 3
2021/7/22, 54, 24, 8, 2
2021/7/23, 37, 23, 7, 1
2021/7/24, 31, 26, 7, 1
2021/7/25, 33, 20, 6, 1
2021/7/26, 29, 20, 6, 1
2021/7/27, 29, 25, 7, 1
2021/7/28, 34, 39, 8, 2
2021/7/29, 59, 36, 8, 1
2021/7/30, 56, 29, 11, 1
2021/7/31, 40, 17, 6, 1
2021/8/1, 19, 25, 7, 1
2021/8/2, 35, 31, 9, 1
2021/8/3, 41, 37, 8, 2
2021/8/4, 56, 29, 8, 1
2021/8/5, 43, 33, 8, 2
2021/8/6, 46, 11, 7, 1
2021/8/7, 14, 41, 11, 2
2021/8/8, 56, 54, 10, 2
2021/8/9, 86, 23, 7, 1
2021/8/10, 35, 22, 7, 2
2021/8/11, 29, 27, 8, 2
2021/8/12, 43, 18, 7, 1
2021/8/13, 25, 24, 8, 1
2021/8/14, 29, 23, 9, 1
2021/8/15, 30, 31, 8, 1
2021/8/16, 32, 17, 8, 1
2021/8/17, 21, 14, 6, 1
2021/8/18, 19, 13, 7, 1
2021/8/19, 17, 17, 6, 2
2021/8/20, 21, 17, 7, 1
2021/8/21, 23, 20, 9, 1
2021/8/22, 25, 29, 8, 1
2021/8/23, 38, 30, 9, 2
2021/8/24, 44, 16, 9, 1
2021/8/25, 21, , , 
2021/8/27, 46, 23, 9, 1
2021/8/28, 32, 20, 11, 2
2021/8/29, 27, 29, 10, 1
2021/8/30, 40, 23, 9, 1
2021/8/31, 31, 28, 8, 1
2021/9/1, 39, 23, 14, 1
2021/9/2, 31, 26, 10, 1
2021/9/3, 38, 22, 7, 1
2021/9/4, 35, 16, 7, 1
2021/9/5, 22, 17, 7, 1
2021/9/6, 25, 31, 9, 2
2021/9/7, 42, 23, 7, 2
2021/9/8, 33, 11, 7, 2
2021/9/9, 15, 22, 9, 2
2021/9/10, 31, 27, 10, 2
2021/9/11, 38, 41, 11, 2
2021/9/12, 57, 51, 11, 2
2021/9/13, 79, 38, 9, 2
2021/9/14, 50, 20, 7, 2
2021/9/15, 27, 21, 9, 2
2021/9/16, 27, 17, 9, 1
2021/9/17, 24, 19, 5, 2
2021/9/18, 24, 16, 5, 1
2021/9/19, 23, 36, 8, 2
2021/9/20, 52, 44, 12, 2
2021/9/21, 60, 40, 10, 2
2021/9/22, 55, 34, 10, 3
2021/9/23, 48, 34, 8, 1
2021/9/24, 47, 15, 6, 3
2021/9/25, 21, 22, 5, 2
2021/9/26, 31, 26, 5, 2
2021/9/27, 35, 38, 8, 3
2021/9/28, 57, 43, 10, 3
2021/9/29, 66, 31, 9, 2
2021/9/30, 44, 31, 8, 2
2021/4/1, 75, 39, 11, 3
2021/4/2, 54, 34, 7, 2
2021/4/3, 45, 42, 7, 3
2021/4/4, 57, 54, 9, 4
2021/4/5, 85, 56, 10, 4
2021/4/6, 83, 44, 8, 3
2021/4/7, 58, 36, 8, 2
2021/4/8, 48, 34, 6, 2
2021/4/9, 45, 41, 7, 3
2021/4/10, 63, 53, 10, 4
2021/4/11, 81, 32, 7, 2
2021/4/12, 41, 30, 7, 2
2021/4/13, 40, 24, 7, 2
2021/4/14, 36, 29, 7, 3
2021/4/15, 37, 24, 6, 3
2021/4/16, 31, 22, 7, 2
2021/4/17, 31, 38, 7, 3
2021/4/18, 51, 41, 10, 4
2021/4/19, 57, 20, 7, 2
2021/4/20, 27, 23, 10, 3
2021/4/21, 31, 21, 8, 2
2021/4/22, 28, 23, 6, 2
2021/4/23, 29, 32, 7, 2
2021/4/24, 38, 28, 8, 2
2021/4/25, 36, 22, 8, 2
2021/4/26, 29, 21, 5, 2
2021/4/27, 28, , , 
2021/1/4, 121, 92, 8, 6
2021/1/5, 163, 85, 9, 6
2021/1/6, 146, 78, 4, 2
2021/1/7, 129, 21, 2, 2
2021/1/8, 27, 33, 3, 2
2021/1/9, 46, 47, 2, 1
2021/1/10, 66, 49, 6, 2
2021/1/11, 73, 53, 6, 2
2021/1/12, 79, 73, 6, 3
2021/1/13, 128, 78, 7, 4
2021/1/14, 136, 85, 7, 3
2021/1/15, 148, 98, 8, 5
2021/1/16, 160, 84, 7, 4
2021/1/17, 132, 54, 6, 3
2021/1/18, 80, 65, 7, 3
2021/1/19, 103, 82, 10, 4
2021/1/20, 150, 97, 19, 7
2021/1/21, 162, 100, 25, 12
2021/1/22, 165, 94, 25, 9
2021/1/23, 159, 96, 16, 5
2021/1/24, 164, 77, 10, 4
2021/1/25, 133, 55, 10, 4
2021/1/26, 83, 55, 10, 4
2021/1/27, 81, 49, 13, 6
2021/1/28, 76, 63, 17, 6
2021/1/29, 101, 89, 27, 7
2021/1/30, 145, 97, 24, 8
2021/1/31, 160, 63, 17, 4
2021/2/1, 109, 58, 12, 5
2021/2/2, 92, 51, 14, 3
2021/2/3, 84, 54, 12, 4
2021/2/4, 82, 56, 14, 4
2021/2/5, 94, 66, 12, 4
2021/2/6, 103, 68, 11, 4
2021/2/7, 110, 54, 12, 5
2021/2/8, 96, 15, 8, 4
2021/2/9, 26, 40, 9, 9
2021/2/10, 70, 43, 8, 4
2021/2/11, 68, 29, 8, 4
2021/2/12, 49, 31, 8, 4
2021/2/13, 51, 40, 8, 4
2021/2/14, 66, 56, 8, 3
2021/2/15, 92, 53, 10, 3
2021/2/16, 83, 37, 9, 4
2021/2/17, 66, 51, 9, 8
2021/2/18, 88, 78, 33, 9
2021/2/19, 132, 65, 38, 4
2021/2/20, 124, 57, 38, 3
2021/2/21, 111, 53, 38, 3
2021/2/22, 83, 53, 38, 3
2021/2/23, 86, 43, 38, 3
2021/2/24, 75, 40, 38, 3
2021/2/25, 66, 44, 38, 3
2021/2/26, 76, 51, 31, 4
2021/2/27, 97, 56, 13, 6
2021/2/28, 105, 52, 18, 8
2021/3/1, 96, 28, 13, 5
2021/3/2, 44, 56, 12, 6
2021/3/3, 90, 53, 12, 6
2021/3/4, 80, 65, 12, 6
2021/3/5, 105, 54, 13, 7
2021/3/6, 86, 44, 10, 6
2021/3/7, 60, 49, 11, 8
2021/3/8, 73, 33, 7, 4
2021/3/9, 44, 28, 8, 2
2021/3/10, 36, 36, 7, 3
2021/3/11, 47, 45, 7, 5
2021/3/12, 61, 56, 8, 4
2021/3/13, 84, 46, 8, 4
2021/3/14, 69, 40, 7, 3
2021/3/15, 57, 32, 6, 3
2021/3/16, 45, 41, 7, 3
2021/3/17, 57, 41, 10, 2
2021/3/18, 59, 33, 8, 2
2021/3/19, 44, 31, 7, 1
2021/3/20, 39, 28, 8, 2
2021/3/21, 37, 32, 9, 3
2021/3/22, 45, 50, 9, 2
2021/3/23, 65, 45, 9, 3
2021/3/24, 61, 61, 9, 5
2021/3/25, 99, 60, 11, 2
2021/3/26, 95, 37, 9, 2
2021/3/27, 51, 53, 8, 1
2021/3/28, 73, 41, 10, 4
2021/3/29, 57, 53, 12, 6
2021/3/30, 75, 56, 10, 5
2021/3/31, 82, 53, 12, 4
2020/10/1, 28, 28, 6, 3
2020/10/2, 37, 24, 8, 3
2020/10/3, 32, 22, 5, 1
2020/10/4, 27, 24, 7, 4
2020/10/5, 33, 24, 4, 2
2020/10/6, 31, 25, 2, 2
2020/10/7, 31, 21, 1, 1
2020/10/8, 28, 22, 1, 2
2020/10/9, 29, 26, 1, 2
2020/10/10, 34, 24, 1, 2
2020/10/11, 33, 37, 3, 5
2020/10/12, 49, 42, 2, 3
2020/10/13, 56, 26, 1, 2
2020/10/14, 36, 18, 6, 6
2020/10/15, 17, 20, 5, 8
2020/10/16, 25, 22, 5, 5
2020/10/17, 24, 23, 6, 11
2020/10/18, 30, 22, 8, 15
2020/10/19, 28, 20, 7, 12
2020/10/20, 26, 20, 7, 8
2020/10/21, 26, 31, 8, 2
2020/10/22, 43, 46, 7, 5
2020/10/23, 63, 47, 7, 5
2020/10/24, 63, 46, 2, 3
2020/10/25, 72, 37, 2, 3
2020/10/26, 50, 42, 5, 5
2020/10/27, 57, 44, 5, 3
2020/10/28, 67, 26, 4, 2
2020/10/29, 38, 26, 4, 4
2020/10/30, 43, 34, 5, 5
2020/10/31, 52, 53, 5, 5
2020/11/1, 78, 42, 4, 5
2020/11/2, 55, 25, 3, 3
2020/11/3, 35, 38, 4, 5
2020/11/4, 50, 42, 8, 6
2020/11/5, 58, 56, 8, 7
2020/11/6, 82, 38, 6, 5
2020/11/7, 57, 37, 5, 4
2020/11/8, 55, 49, 5, 4
2020/11/9, 70, 47, 6, 4
2020/11/10, 62, 52, 4, 4
2020/11/11, 79, 48, 10, 7
2020/11/12, 70, 51, 9, 5
2020/11/13, 82, 39, 5, 3
2020/11/14, 55, 34, 2, 2
2020/11/15, 47, 32, 4, 5
2020/11/16, 44, 47, 2, 3
2020/11/17, 70, 46, 5, 2
2020/11/18, 60, 52, 6, 3
2020/11/19, 69, 48, 5, 1
2020/11/20, 67, 33, 4, 1
2020/11/21, 47, 40, 3, 1
2020/11/22, 59, 32, 4, 2
2020/11/23, 42, 42, 4, 3
2020/11/24, 57, 41, 6, 4
2020/11/25, 57, 44, 5, 2
2020/11/26, 60, 37, 5, 3
2020/11/27, 49, 41, 1, 2
2020/11/28, 54, 30, 2, 3
2020/11/29, 42, 42, 2, 3
2020/11/30, 56, 50, 3, 3
2020/12/1, 64, 49, 5, 5
2020/12/2, 75, 43, 1, 2
2020/12/3, 57, 29, 2, 2
2020/12/4, 43, 34, 3, 4
2020/12/5, 47, 48, 3, 3
2020/12/6, 63, 60, 6, 4
2020/12/7, 93, 59, 4, 4
2020/12/8, 93, 56, 4, 5
2020/12/9, 81, 59, 7, 6
2020/12/10, 89, 65, 9, 4
2020/12/11, 102, 56, 7, 3
2020/12/12, 84, 59, 3, 2
2020/12/13, 92, 47, 3, 3
2020/12/14, 67, 27, 2, 2
2020/12/15, 41, 28, 1, 2
2020/12/16, 42, 33, 1, 2
2020/12/17, 49, 32, 2, 2
2020/12/18, 51, 45, 2, 2
2020/12/19, 69, 47, 3, 2
2020/12/20, 71, 51, 2, 2
2020/12/21, 77, 64, 3, 3
2020/12/22, 105, 66, 4, 3
2020/12/23, 106, 54, 6, 4
2020/12/24, 84, 66, 6, 5
2020/12/25, 105, 68, 11, 5
2020/12/26, 112, 75, 8, 6
2020/12/27, 127, 71, 2, 2
2020/12/28, 111, 43, 2, 1
2020/12/29, 62, 37, 3, 2
2020/12/30, 50, 43, 4, 2
2020/12/31, 64, 55, 3, 2
2021/1/1, 78, 76, 4, 2
2021/1/2, 123, 76, 5, 3
2021/1/3, 128, 70, 4, 2
2020/7/1, 39, 25, 5, 1
2020/7/2, 30, 20, 3, 1
2020/7/3, 20, 21, 3, 2
2020/7/4, 22, 22, 5, 1
2020/7/5, 27, 23, 6, 1
2020/7/6, 20, 19, 5, 1
2020/7/7, 25, 20, 4, 1
2020/7/8, 27, 20, 5, 2
2020/7/9, 26, 21, 4, 2
2020/7/10, 28, 19, 5, 2
2020/7/11, 25, 26, 5, 2
2020/7/12, 32, 27, 5, 1
2020/7/13, 35, 24, 3, 2
2020/7/14, 30, 26, 5, 1
2020/7/15, 35, 18, 3, 1
2020/7/16, 23, 23, 4, 1
2020/7/17, 28, 24, 4, 1
2020/7/18, 31, 19, 3, 1
2020/7/19, 22, 19, 4, 2
2020/7/20, 23, 19, 3, 1
2020/7/21, 23, 21, 4, 1
2020/7/22, 27, 19, 4, 1
2020/7/23, 24, 25, 4, 1
2020/7/24, 32, 18, 4, 1
2020/7/25, 23, 21, 3, 1
2020/7/26, 28, 38, 6, 3
2020/7/27, 50, 60, 6, 5
2020/7/28, 90, 37, 6, 3
2020/7/29, 51, 29, 8, 2
2020/7/30, 38, 23, 6, 3
2020/7/31, 31, 36, 3, 2
2020/8/1, 54, 12, 1, 1
2020/8/2, 17, 19, 4, 3
2020/8/3, 26, 28, 4, 2
2020/8/4, 38, 24, 2, 2
2020/8/5, 34, 22, 2, 3
2020/8/6, 29, 21, 3, 3
2020/8/7, 28, 31, 3, 1
2020/8/8, 40, 26, 5, 1
2020/8/9, 34, 24, 5, 2
2020/8/10, 46, 13, 5, 1
2020/8/11, 19, 20, 4, 2
2020/8/12, 28, 20, 2, 1
2020/8/13, 25, 21, 2, 2
2020/8/14, 29, 23, 3, 4
2020/8/15, 30, 17, 3, 4
2020/8/16, 24, 23, 2, 2
2020/8/17, 30, 19, 3, 3
2020/8/18, 27, 28, 4, 2
2020/8/19, 35, 35, 6, 3
2020/8/20, 49, 19, 4, 2
2020/8/21, 25, 25, 5, 3
2020/8/22, 33, 31, 5, 2
2020/8/23, 44, 21, 4, 2
2020/8/24, 28, 23, 4, 2
2020/8/25, 31, 27, 3, 4
2020/8/26, 35, 37, 6, 2
2020/8/27, 50, 29, 6, 2
2020/8/28, 39, 24, 4, 2
2020/8/29, 31, 31, 6, 2
2020/8/30, 42, 36, 4, 2
2020/8/31, 48, 34, 5, 3
2020/9/1, 45, 47, 5, 3
2020/9/2, 72, 42, 3, 3
2020/9/3, 57, 38, 4, 2
2020/9/4, 54, 37, 3, 1
2020/9/5, 50, , , 
2020/9/7, 26, 36, 3, 3
2020/9/8, 49, 34, 3, 2
2020/9/9, 44, 26, 4, 2
2020/9/10, 36, 26, 3, 2
2020/9/11, 34, 29, 3, 2
2020/9/12, 38, 23, 3, 2
2020/9/13, 30, 21, 3, 3
2020/9/14, 29, 22, 3, 2
2020/9/15, 29, 22, 4, 3
2020/9/16, 30, 28, 3, 3
2020/9/17, 37, 21, 2, 4
2020/9/18, 25, 23, 2, 3
2020/9/19, 30, 32, 5, 3
2020/9/20, 43, 38, 7, 3
2020/9/21, 50, 22, 6, 1
2020/9/22, 26, 25, 7, 2
2020/9/23, 33, 20, 4, 3
2020/9/24, 27, 35, 5, 3
2020/9/25, 47, 27, 6, 1
2020/9/26, 32, 21, 3, 3
2020/9/27, 28, 28, 5, 4
2020/9/28, 36, 34, 6, 4
2020/9/29, 45, 30, 5, 2
2020/9/30, 40, 22, 4, 2
2020/6/21, 32, 24, 4, 1
2020/6/22, 33, 19, 4, 1
2020/6/23, 27, 18, 4, 3
2020/6/24, 24, 38, 5, 4
2020/6/25, 54, 24, 6, 1
2020/6/26, 33, 23, 4, 1
2020/6/27, 30, 24, 5, 1
2020/6/28, 34, 21, 4, 1
2020/6/29, 29, 26, 4, 1
2020/6/30, 33, 32, 4, 2
2023/7/1, , 19, 36, 3
2023/4/8, , 73, 44, 3
2023/4/17, , 46, 34, 4
2023/4/25, , 31, 44, 4
2023/4/29, , 27, 33, 2
2023/5/8, , 54, 40, 4
2023/6/4, , 44, 31, 3
2023/6/11, , 42, 36, 4
2023/6/17, , 21, 34, 3
2023/1/1, , 66, 5, 3
2023/1/7, , 58, 2, 2
2023/1/14, , 53, 8, 3
2023/1/28, , 71, 18, 6
2023/2/11, , 35, 7, 5
2023/2/26, , 66, 14, 5
2023/3/11, , 52, 44, 5
2023/3/26, , 23, 43, 4
2022/12/20, , 56, 4, 4
2022/12/24, , 52, 6, 4
2022/1/2, , 89, 13, 7
2021/11/26, , 43, 10, 3
2021/12/17, , 46, 14, 3
2021/12/26, , 6, 2, 1
2021/12/27, , 13, 5, 1
2021/12/28, , 25, 5, 2
2021/12/29, , 19, 5, 2
2021/7/4, , 6, 5, 1
2021/7/9, , 14, 9, 3
2021/8/26, , 35, 12, 2
2020/9/6, , 20, 3, 5
2020/6/20, , 24, 5, 2
