date, pm25, pm10, no2, so2, co
2023/1/21, 193, 129, 7, 2, 
2023/1/22, 227, 94, 3, 1, 
2023/1/23, 178, 40, 2, , 
2023/1/24, 67, 70, 4, 1, 
2023/1/25, 124, 82, 4, 1, 
2023/1/26, 146, 67, 4, 1, 
2023/1/27, 123, 66, 5, 1, 
2023/1/28, 109, 80, 8, 1, 
2023/1/29, 144, 94, 9, 2, 
2023/1/30, 170, 97, 9, 2, 
2023/1/31, 163, 96, 8, 1, 
2023/2/1, 168, 117, 10, 1, 
2023/2/2, 204, , , , 
2023/2/10, 101, 47, 5, 1, 
2023/2/11, 83, 47, 3, 1, 
2023/2/12, 77, 66, 5, 1, 
2023/2/13, 122, 42, 3, 1, 
2023/2/14, 59, 42, 5, 1, 
2023/2/15, 62, 60, 5, 2, 
2023/2/16, 111, 89, 9, 6, 
2023/2/17, 159, 102, 10, 3, 
2023/2/18, 176, 96, 7, 2, 
2023/2/19, 166, 51, 6, 1, 
2023/2/20, 83, 103, 13, 4, 
2023/2/21, 182, 98, 12, 2, 
2023/2/22, 165, 85, 10, 1, 4
2023/2/23, 149, 57, 7, 2, 3
2023/2/24, 91, 39, 7, 1, 4
2023/2/25, 55, 77, 8, 3, 4
2023/2/26, 138, 85, 8, 3, 5
2023/2/27, 150, 99, 7, 1, 5
2023/2/28, 174, 95, 11, 4, 3
2023/3/1, 162, 110, 8, 2, 4
2023/3/2, 189, 99, 7, 1, 5
2023/3/3, 174, 60, 6, 1, 4
2023/3/4, 95, 90, 7, 2, 6
2023/3/5, 161, 103, 8, 2, 5
2023/3/6, 176, 90, 10, 2, 6
2023/3/7, 152, 79, 9, 1, 3
2023/3/8, 136, 84, 7, 1, 4
2023/3/9, 150, 78, 8, 5, 4
2023/3/10, 138, 91, 11, 3, 4
2023/3/11, 156, 100, 8, 3, 4
2023/3/12, 168, 77, 6, 1, 2
2023/3/13, 68, 112, 9, 2, 5
2023/3/14, 156, 105, 8, 2, 5
2023/3/15, 172, 81, 7, 1, 4
2023/3/16, 145, 65, 5, 4, 3
2023/3/17, 109, 68, 7, 4, 4
2023/3/18, 116, 67, 6, 4, 4
2023/3/19, 110, 63, 5, 3, 4
2023/3/20, 108, 61, 5, 1, 3
2023/3/21, 108, 91, 6, 1, 4
2023/3/22, 165, 101, 6, 1, 4
2023/3/23, 169, 104, 9, 2, 5
2023/3/24, 170, 95, 10, 1, 4
2023/3/25, 165, 22, 4, , 3
2023/3/26, 32, 19, 6, 1, 3
2023/3/27, 29, 35, 5, 5, 5
2023/3/28, 46, 28, 5, 1, 2
2023/3/29, 39, 35, 6, 1, 3
2023/3/30, 46, 73, 8, 1, 5
2023/3/31, 144, 70, 6, 3, 6
2022/10/1, 51, 27, 13, 1, 
2022/10/2, 30, 38, 15, 1, 
2022/10/3, 54, 44, 19, 2, 
2022/10/4, 57, 48, 20, 1, 
2022/10/5, 80, 60, 21, 2, 
2022/10/6, 99, 61, 22, 2, 
2022/10/7, 103, 47, 19, 1, 
2022/10/8, 74, 40, 18, 2, 
2022/10/9, 70, 27, 18, 1, 
2022/10/10, 47, 58, 16, 2, 
2022/10/11, 64, 56, 17, 2, 
2022/10/12, 80, 67, 19, 4, 
2022/10/13, 104, 62, 19, 3, 
2022/10/14, 106, 60, 19, 2, 
2022/10/15, 93, 66, 17, 3, 
2022/10/16, 108, 68, 17, 2, 
2022/10/17, 112, 73, 18, 3, 
2022/10/18, 127, 72, 16, 2, 
2022/10/19, 116, 32, 14, 1, 
2022/10/20, 60, 28, 16, 1, 
2022/10/21, 37, 47, 22, 2, 
2022/10/22, 81, 56, 23, 2, 
2022/10/23, 85, 68, 24, 2, 
2022/10/24, 116, 106, 27, 3, 
2022/10/25, 184, 83, 25, 2, 
2022/10/26, 145, 79, 34, 4, 
2022/10/27, 121, 84, 15, 4, 
2022/10/28, 150, 80, 12, 2, 
2022/10/29, 139, 66, 11, 1, 
2022/10/30, 131, 46, 10, 2, 
2022/10/31, 82, 49, , 3, 
2022/11/1, 72, 56, 14, 3, 
2022/11/2, 77, 67, 11, 4, 
2022/11/3, 100, 70, 10, 3, 
2022/11/4, 107, 78, 11, 4, 
2022/11/5, 122, 84, 10, 4, 
2022/11/6, 150, 100, 13, 6, 
2022/11/7, 169, 104, 11, 4, 
2022/11/8, 173, 101, 16, 5, 
2022/11/9, 170, 113, 16, 4, 
2022/11/10, 195, 95, 12, 3, 
2022/11/11, 157, 72, 12, 3, 
2022/11/12, 127, 69, 10, 3, 
2022/11/13, 117, 102, 16, 7, 
2022/11/14, 172, 94, 12, 3, 
2022/11/15, 160, 65, 10, 3, 
2022/11/16, 111, 53, 9, 2, 
2022/11/17, 72, 64, 11, 4, 
2022/11/18, 92, , , , 
2022/11/21, 131, 63, 7, 1, 
2022/11/22, 113, 56, 7, 9, 
2022/11/23, 91, 31, 5, 3, 
2022/11/24, 44, 45, 5, 2, 
2022/11/25, 78, 30, 2, 1, 
2022/11/26, 49, 59, 8, 3, 
2022/11/27, 82, 41, , 2, 
2022/11/28, 59, 46, 2, 1, 
2022/11/29, 58, 35, 3, 1, 
2022/11/30, 41, 8, 1, , 
2022/12/1, 13, 14, 5, 1, 
2022/12/2, 32, 33, 2, 1, 
2022/12/3, 52, 27, 1, 1, 
2022/12/4, 35, 26, 3, 1, 
2022/12/5, 47, 55, 2, 1, 
2022/12/6, 73, 60, 1, 1, 
2022/12/7, 86, 51, 2, 1, 
2022/12/8, 91, 53, 1, 1, 
2022/12/9, 86, 56, 3, 1, 
2022/12/10, 100, 65, 2, 2, 
2022/12/11, 111, 77, 6, 2, 
2022/12/12, 127, 82, 5, 1, 
2022/12/13, 144, 79, 8, 2, 
2022/12/14, 137, 95, 8, 4, 
2022/12/15, 158, 100, 7, 1, 
2022/12/16, 177, 72, 3, 1, 
2022/12/17, 106, 60, 4, 1, 
2022/12/18, 74, 89, 6, 1, 
2022/12/19, 149, 105, 10, 1, 
2022/12/20, 175, 91, 10, 2, 
2022/12/21, 156, 101, 10, 3, 
2022/12/22, 173, 87, 8, 1, 
2022/12/23, 150, 87, 9, 1, 
2022/12/24, 149, 101, 9, 2, 
2022/12/25, 171, 105, 10, 2, 
2022/12/26, 180, 114, 10, 1, 
2022/12/27, 204, 79, 7, 1, 
2022/12/28, 157, 27, 6, 3, 
2022/12/29, 52, 37, 7, 1, 
2022/12/30, 53, 59, 8, 1, 
2022/12/31, 111, 70, 7, 2, 
2023/1/1, 133, 71, 6, 1, 
2022/7/1, 46, 36, 4, 1, 
2022/7/2, 47, 35, 5, 1, 
2022/7/3, 50, 49, 5, 1, 
2022/7/4, 69, 42, 6, 1, 
2022/7/5, 75, 42, 6, 2, 
2022/7/6, 66, 38, 7, 3, 
2022/7/7, 51, 20, 7, 4, 
2022/7/8, 31, 35, 6, 2, 
2022/7/9, 48, 38, 5, 2, 
2022/7/10, 41, 36, 5, 3, 
2022/7/11, 46, 40, 6, 3, 
2022/7/12, 56, 38, 6, 2, 
2022/7/13, 58, 39, 5, 2, 
2022/7/14, 56, 29, 6, 3, 
2022/7/15, 34, 30, 6, 1, 
2022/7/16, 43, 35, 4, 1, 
2022/7/17, 48, 36, 7, 4, 
2022/7/18, 46, 32, 6, 3, 
2022/7/19, 34, 32, 6, 2, 
2022/7/20, 48, 32, 5, 1, 
2022/7/21, 42, 33, 5, 1, 
2022/7/22, 32, 49, 6, 3, 
2022/7/23, 73, 43, 6, 2, 
2022/7/24, 58, 44, 6, 2, 
2022/7/25, 61, 44, 6, 2, 
2022/7/26, 68, 40, 6, 2, 
2022/7/27, 56, 40, 5, 1, 
2022/7/28, 52, 53, 7, 5, 
2022/7/29, 84, 57, 7, 3, 
2022/7/30, 84, 47, 6, 3, 
2022/7/31, 67, 34, 6, 1, 
2022/8/1, 60, 42, 8, 3, 
2022/8/2, 72, 51, 8, 4, 
2022/8/3, 77, 45, 6, 2, 
2022/8/4, 58, 40, 8, 4, 
2022/8/5, 57, 22, 5, 2, 
2022/8/6, 34, 17, 5, 1, 
2022/8/7, 26, 34, 5, 2, 
2022/8/8, 48, 31, 5, 2, 
2022/8/9, 44, 38, 4, 1, 
2022/8/10, 52, 13, 4, 2, 
2022/8/11, 28, 26, 6, 1, 
2022/8/12, 43, 46, 6, 3, 
2022/8/13, 71, 45, 7, 4, 
2022/8/14, 61, 42, 6, 3, 
2022/8/15, 57, 39, 6, 4, 
2022/8/16, 57, 39, 5, 3, 
2022/8/17, 61, 44, 6, 3, 
2022/8/18, 64, 52, 7, 3, 
2022/8/19, 83, 40, 5, 2, 
2022/8/20, 64, 15, 4, 1, 
2022/8/21, 19, 25, 5, 1, 
2022/8/22, 33, 36, 7, 2, 
2022/8/23, 49, 55, 9, 3, 
2022/8/24, 80, 37, 6, 1, 
2022/8/25, 64, 20, 5, 1, 
2022/8/26, 31, 25, 5, 1, 
2022/8/27, 38, 35, 6, 2, 
2022/8/28, 52, 31, 8, 2, 
2022/8/29, 41, 41, 8, 2, 
2022/8/30, 41, 49, 7, 2, 
2022/8/31, 67, 43, 7, 1, 
2022/9/1, 70, 43, 6, 2, 
2022/9/2, 56, 56, 6, 2, 
2022/9/3, 99, 40, 5, 2, 
2022/9/4, 69, 38, 7, 3, 
2022/9/5, 41, 53, 8, 10, 
2022/9/6, 75, 61, 7, 3, 
2022/9/7, 94, 39, 6, 1, 
2022/9/8, 79, 30, 6, 2, 
2022/9/9, 50, 38, 7, 2, 
2022/9/10, 53, 44, 6, 2, 
2022/9/11, 59, 54, 8, 1, 
2022/9/12, 75, 70, 8, 5, 
2022/9/13, 127, 78, 8, 6, 
2022/9/14, 144, 68, 7, 2, 
2022/9/15, 116, 51, 6, 2, 
2022/9/16, 76, 33, 7, 2, 
2022/9/17, 51, 58, 7, 2, 
2022/9/18, 106, 60, 7, 3, 
2022/9/19, 82, 53, 6, 2, 
2022/9/20, 72, 49, 5, 2, 
2022/9/21, 66, 44, 6, 2, 
2022/9/22, 79, 53, 5, 2, 
2022/9/23, 89, 50, 6, 2, 
2022/9/24, 74, 50, 7, 2, 
2022/9/25, 79, 66, 6, 2, 
2022/9/26, 114, 70, 6, 2, 
2022/9/27, 129, 73, 6, 3, 
2022/9/28, 128, 55, 5, 1, 
2022/9/29, 88, 30, 10, 1, 
2022/9/30, 50, 33, 13, 2, 
2022/5/24, 27, 37, 3, 1, 
2022/5/25, 71, 57, 7, 2, 
2022/5/26, 108, 54, 5, 2, 
2022/5/27, 71, 39, 3, 1, 
2022/5/28, 57, 46, 4, 1, 
2022/5/29, 62, 52, 4, 1, 
2022/5/30, 75, 21, 5, 1, 500
2022/5/31, 33, 58, 7, 1, 500
2022/6/1, 101, 49, 6, 2, 
2022/6/2, 72, 38, 7, 1, 
2022/6/3, 60, 55, 9, 1, 
2022/6/4, 73, 57, 10, 1, 
2022/6/5, 83, 36, 6, 1, 
2022/6/6, 57, 35, 5, 1, 
2022/6/7, 45, 45, 6, 1, 
2022/6/8, 67, 48, 6, 1, 
2022/6/9, 69, 53, 9, 1, 
2022/6/10, 86, 44, 5, , 
2022/6/11, 71, 51, 7, , 
2022/6/12, 85, 56, 7, , 
2022/6/13, 87, 22, 5, 7, 
2022/6/14, 30, 50, 5, 1, 
2022/6/15, 80, 34, 6, 1, 
2022/6/16, 62, 44, 8, 1, 
2022/6/17, 52, 53, 8, 1, 
2022/6/18, 68, 58, 10, 1, 
2022/6/19, 96, 59, 11, 8, 
2022/6/20, 94, 55, 9, 2, 
2022/6/21, 80, 46, 6, 1, 
2022/6/22, 65, 41, 6, 1, 
2022/6/23, 54, 44, 6, 1, 
2022/6/24, 58, 40, 6, 1, 
2022/6/30, 72, 34, 5, 1, 
2022/1/3, 156, 115, 13, 2, 16
2022/1/4, 190, 98, 15, 5, 15
2022/1/5, 163, 94, 14, 4, 15
2022/1/6, 164, 94, 16, 7, 15
2022/1/7, 161, 78, 9, 3, 14
2022/1/8, 139, 35, 6, 1, 14
2022/1/9, 48, 44, 8, 3, 15
2022/1/10, 57, 30, 8, 1, 14
2022/1/11, 42, , , , 
2022/2/8, 17, 13, 3, 1, 18
2022/2/9, 15, 12, 5, 1, 18
2022/2/10, 19, 46, 9, 2, 20
2022/2/11, 76, 12, 4, 1, 18
2022/2/12, 21, 11, 4, 1, 18
2022/2/13, 20, 28, 5, 1, 19
2022/2/14, 38, 49, 5, 1, 14
2022/2/15, 81, 49, 7, 2, 5
2022/2/16, 82, 63, 16, 6, 7
2022/2/17, 120, 45, 15, 1, 5
2022/2/18, 82, 8, 4, 1, 3
2022/2/19, 10, 8, 3, , 2
2022/2/20, 17, 13, 4, 1, 3
2022/2/21, 21, 21, 4, 1, 3
2022/2/22, 29, 34, 5, 2, 3
2022/2/23, 58, 43, 6, 2, 3
2022/2/24, 75, 66, 8, 2, 4
2022/2/25, 123, , , , 
2022/2/27, 204, 131, 14, 4, 7
2022/2/28, 230, 100, 12, 2, 5
2022/3/1, 179, 125, 12, 3, 6
2022/3/2, 224, 94, 14, 4, 4
2022/3/3, 176, 62, 9, 2, 4
2022/3/4, 113, 51, 9, 8, 4
2022/3/5, 90, 42, 8, 1, 4
2022/3/6, 69, 51, 8, 10, 5
2022/3/7, 85, 71, 9, 8, 4
2022/3/8, 124, 80, 30, 24, 3
2022/3/9, 132, 62, 9, 8, 
2022/3/10, 103, 81, 17, 9, 
2022/3/11, 132, 68, 11, 7, 
2022/3/12, 101, 60, 58, 54, 
2022/3/13, 90, 59, 9, 4, 
2022/3/14, 94, 86, 10, 7, 
2022/3/15, 148, 72, 13, 7, 
2022/3/16, 130, 50, 8, 7, 
2022/3/17, 70, 57, 7, 7, 
2022/3/18, 98, 64, 11, 8, 
2022/3/19, 108, 53, 9, 7, 
2022/3/20, 81, 50, 8, 7, 
2022/3/21, 76, 61, 8, 7, 
2022/3/22, 111, 33, 5, 9, 
2022/3/23, 55, 42, 11, 2, 
2022/3/24, 70, 71, 8, 2, 
2022/3/25, 134, 64, 5, 3, 
2022/3/26, 116, , , , 
2021/10/1, 88, 46, , 4, 9
2021/10/2, 67, 59, , 4, 11
2021/10/3, 97, 52, , 4, 10
2021/10/4, 83, 58, , 5, 10
2021/10/5, 92, 69, , 6, 10
2021/10/6, 116, 71, , 6, 10
2021/10/7, 122, 63, , 6, 10
2021/10/8, 108, 51, , 5, 10
2021/10/9, 87, 19, , 4, 10
2021/10/10, 23, 16, , 3, 10
2021/10/11, 22, 24, , 4, 10
2021/10/12, 27, 33, , 4, 10
2021/10/13, 42, 16, , 3, 10
2021/10/14, 18, 13, 8, 6, 14
2021/10/15, 18, 14, , 3, 14
2021/10/16, 17, 16, 7, 3, 12
2021/10/17, 16, 14, 7, 4, 9
2021/10/18, 18, 36, 4, 4, 5
2021/10/19, 53, 57, , 5, 7
2021/10/20, 94, 36, 5, 4, 5
2021/10/21, 46, 16, 4, 3, 4
2021/10/22, 18, 27, 6, 3, 4
2021/10/23, 36, 48, 7, 5, 5
2021/10/24, 75, 63, 12, 5, 7
2021/10/25, 106, 79, 10, 7, 7
2021/10/26, 139, 86, 10, 5, 7
2021/10/27, 147, 73, 7, 9, 6
2021/10/28, 130, 23, 7, 1, 4
2021/10/29, 44, 13, 6, 1, 4
2021/10/30, 19, 28, 6, 1, 4
2021/10/31, 41, 19, 6, 1, 5
2021/11/1, 28, 26, 6, 1, 5
2021/11/2, 40, 34, 8, 1, 6
2021/11/3, 44, 52, 6, 1, 5
2021/11/4, 79, 50, 8, 1, 5
2021/11/5, 68, 42, 6, 1, 4
2021/11/6, 52, 43, 5, 1, 4
2021/11/7, 54, 27, 5, 1, 4
2021/11/8, 25, 49, 9, 1, 4
2021/11/9, 44, , 8, 3, 4
2021/11/10, 62, 54, 10, 3, 5
2021/11/11, 95, 80, 10, 6, 5
2021/11/12, 144, 82, 13, 3, 6
2021/11/13, 153, 76, 9, 4, 6
2021/11/14, 137, 80, 8, 3, 6
2021/11/15, 147, 85, 10, 2, 7
2021/11/16, 162, 52, 7, 1, 6
2021/11/17, 93, 43, 11, 2, 7
2021/11/18, 61, 70, 10, 5, 9
2021/11/19, 125, 82, 13, 2, 11
2021/11/20, 153, 53, 8, 1, 8
2021/11/21, 87, 25, 6, 1, 7
2021/11/22, 24, 31, 8, 1, 6
2021/11/23, 36, 53, 7, 2, 7
2021/11/24, 82, 54, 7, 2, 7
2021/11/25, 91, 69, 10, 3, 8
2021/11/26, 115, 69, 10, 3, 8
2021/11/27, 111, 77, 11, 5, 9
2021/11/28, 130, 81, 13, 5, 9
2021/11/29, 142, 68, 10, 3, 8
2021/11/30, 113, 67, 12, 3, 8
2021/12/1, 109, 75, 12, 4, 9
2021/12/2, 127, , , , 
2021/12/4, 132, 90, 14, 5, 10
2021/12/5, 149, 84, 13, 4, 10
2021/12/6, 142, 87, 14, 5, 11
2021/12/7, 155, 112, 15, 7, 11
2021/12/8, 171, 85, 10, 2, 10
2021/12/9, 151, 102, 10, 3, 11
2021/12/10, 182, 108, 17, 5, 11
2021/12/11, 185, 94, 9, 2, 10
2021/12/12, 162, 39, 12, 1, 11
2021/12/13, 47, 74, 10, 3, 11
2021/12/14, 135, 123, 16, 6, 15
2021/12/15, 216, 143, 18, 5, 15
2021/12/16, 227, 90, 9, 2, 11
2021/12/17, 154, 45, 9, 2, 10
2021/12/18, 60, 81, 14, 4, 11
2021/12/19, 140, 66, 9, 3, 10
2021/12/20, 102, 64, 11, 4, 11
2021/12/21, 105, 102, 14, 4, 13
2021/12/22, 174, 107, 16, 8, 13
2021/12/23, 184, 127, 17, 5, 14
2021/12/24, 218, 111, 10, 4, 13
2021/12/25, 195, 79, 8, 1, 12
2021/12/26, 148, 17, 6, 1, 11
2021/12/27, 19, 29, 9, 1, 11
2021/12/28, 39, 30, 6, 1, 12
2021/12/29, 42, 31, 6, 1, 12
2021/12/30, 41, 43, 8, 1, 13
2021/12/31, 62, 56, 7, 1, 13
2022/1/1, 97, 55, 9, 2, 14
2022/1/2, 88, 93, 8, 1, 15
2021/7/1, 49, 49, 9, 5, 5
2021/7/2, 63, 57, 10, 8, 6
2021/7/3, 85, 55, 9, 8, 5
2021/7/4, 81, 48, 8, 7, 5
2021/7/5, 64, 53, 8, 6, 5
2021/7/6, 80, 49, 7, 7, 5
2021/7/7, 77, 24, 4, 3, 5
2021/7/8, 31, 44, 8, 4, 6
2021/7/9, 58, 49, 6, 4, 6
2021/7/10, 68, 44, 5, 4, 5
2021/7/11, 65, 42, 5, 4, 5
2021/7/12, 64, 44, 5, 4, 5
2021/7/13, 64, 44, 4, 4, 6
2021/7/14, 61, 47, 5, 4, 6
2021/7/15, 71, 41, 6, 4, 6
2021/7/16, 59, , , , 
2021/7/21, 55, , , , 
2021/7/23, 34, 43, 11, 4, 4
2021/7/24, 57, 44, 5, 2, 4
2021/7/25, 64, 41, 6, 6, 4
2021/7/26, 57, 58, , 5, 5
2021/7/27, 101, 47, , 4, 4
2021/7/28, 67, 46, , 3, 3
2021/7/29, 61, , , , 
2021/8/17, 71, 42, , 2, 7
2021/8/18, 61, 39, , 2, 6
2021/8/19, 52, 43, , 2, 6
2021/8/20, 62, 42, , 2, 7
2021/8/21, 57, 42, , 2, 7
2021/8/22, 58, 32, , 2, 7
2021/8/23, 41, 57, , 3, 7
2021/8/24, 75, 46, , 3, 7
2021/8/25, 70, 39, , 3, 7
2021/8/26, 53, 36, , 3, 7
2021/8/27, 46, 30, , 3, 7
2021/8/28, 33, 43, , 4, 7
2021/8/29, 57, 46, , 5, 7
2021/8/30, 56, , , , 
2021/9/1, 67, 31, , 1, 7
2021/9/2, 45, 32, , 1, 7
2021/9/3, 46, 42, , 1, 7
2021/9/4, 70, 31, , 1, 7
2021/9/5, 43, 46, , 1, 7
2021/9/6, 72, 51, , 2, 7
2021/9/7, 83, 43, , 3, 7
2021/9/8, 60, 43, , 3, 7
2021/9/9, 57, 40, , 4, 7
2021/9/10, 52, 52, , 4, 8
2021/9/11, 78, 64, , 4, 8
2021/9/12, 113, 59, , 2, 8
2021/9/13, 97, 36, , 3, 8
2021/9/14, 50, 32, , 4, 8
2021/9/15, 39, 33, , 3, 8
2021/9/16, 44, 31, , 4, 8
2021/9/17, 42, 51, , 4, 8
2021/9/18, 77, 44, , 5, 8
2021/9/19, 62, 52, , 6, 8
2021/9/20, 74, 59, , 6, 9
2021/9/21, 87, 50, , 4, 9
2021/9/22, 73, 47, , 6, 8
2021/9/23, 71, 44, , 4, 9
2021/9/24, 63, 36, , 4, 9
2021/9/25, 43, 35, , 4, 9
2021/9/26, 45, 37, , 5, 9
2021/9/27, 42, 56, , 6, 9
2021/9/28, 86, 67, , 5, 10
2021/9/29, 124, 65, , 4, 10
2021/9/30, 115, 55, , 4, 10
2021/4/1, 58, 32, 11, 2, 5
2021/4/2, 44, 36, 15, 2, 6
2021/4/3, 43, 45, 13, 10, 5
2021/4/4, 62, 23, 6, 4, 5
2021/4/5, 23, 48, 8, 6, 5
2021/4/6, 67, 55, 9, 5, 6
2021/4/7, 76, 46, 8, 4, 4
2021/4/8, 56, 24, 4, 3, 4
