date, pm25, pm10, no2, co
2020/8/9, 63, 57, 30, 29
2020/8/10, 69, 54, 27, 29
2020/8/11, 59, 59, 25, 32
2020/8/12, 70, 38, 9, 14
2020/8/13, 45, 50, 17, 25
2020/8/14, 55, 57, 9, 16
2020/8/15, 69, 57, 15, 20
2020/8/16, 66, 55, 21, 27
2020/8/17, 66, 59, 26, 37
2020/8/18, 69, 62, 26, 33
2020/8/19, 77, 77, 25, 34
2020/8/20, 104, 57, 22, 26
2020/8/21, 64, 62, 19, 27
2020/8/22, 74, 76, 21, 30
2020/8/23, 99, 61, 18, 31
2020/8/24, 73, 60, 22, 32
2020/8/25, 71, 59, 23, 27
2020/8/26, 73, 78, 35, 28
2020/8/27, 105, 60, 31, 32
2020/8/28, 80, 60, 30, 31
2020/8/29, 73, 63, 34, 26
2020/8/30, 83, 68, 30, 25
2020/8/31, 91, 64, 33, 26
2020/9/1, 83, 85, 36, 27
2020/9/2, 121, 72, 34, 28
2020/9/3, 97, 76, 40, 30
2020/9/4, 103, 73, 15, 18
2020/9/5, 97, , , 
2020/9/7, 64, 69, 35, 30
2020/9/8, 91, 61, 27, 31
2020/9/9, 79, 62, 25, 31
2020/9/10, 75, 62, 31, 34
2020/9/11, 77, 60, 28, 35
2020/9/12, 75, 59, 19, 30
2020/9/13, 67, 60, 23, 31
2020/9/14, 69, 59, 23, 30
2020/9/15, 83, 62, 26, 32
2020/9/16, 72, 63, 33, 34
2020/9/17, 82, 49, 12, 15
2020/9/18, 55, 52, 11, 19
2020/9/19, 57, 67, 21, 30
2020/9/20, 88, 66, 23, 35
2020/9/21, 98, 57, 19, 34
2020/9/22, 64, 59, 22, 35
2020/9/23, 70, 56, 19, 23
2020/9/24, 61, 64, 31, 36
2020/9/25, 82, 55, 26, 35
2020/9/26, 63, 52, 13, 23
2020/9/27, 57, 61, 29, 31
2020/9/28, 72, 69, 37, 36
2020/9/29, 92, 65, 35, 39
2020/9/30, 80, 55, 31, 40
2020/6/21, 67, 59, 19, 27
2020/6/22, 70, 51, 25, 28
2020/6/23, 57, 56, 20, 25
2020/6/24, 59, 71, 30, 29
2020/6/25, 92, 55, 21, 28
2020/6/26, 64, 50, 20, 23
2020/6/27, 55, 53, 18, 21
2020/6/28, 57, 56, 22, 28
2020/6/29, 65, 58, 32, 34
2020/6/30, 63, 61, 25, 31
2021/3/28, , 71, 27, 18
2020/9/6, , 58, 26, 32
2020/6/20, , 57, 27, 32
