date, pm25, pm10, o3, no2, so2
2023/2/23, 53, , , , 
2023/3/1, 38, 40, 33, 6, 12
2023/3/2, 42, 49, 34, 7, 11
2023/3/3, 62, 53, 38, 7, 11
2023/3/4, 65, , , , 
2023/3/11, 59, 43, 30, 3, 10
2023/3/12, 54, 47, 39, 6, 11
2023/3/13, 53, 50, 43, 6, 11
2023/3/14, 61, 36, 33, 4, 11
2023/3/15, 40, 28, 28, 4, 11
2023/3/16, 30, 31, 25, 4, 12
2023/3/17, 34, 25, 19, 3, 10
2023/3/18, 26, 24, 20, 2, 10
2023/3/19, 29, 21, 19, 3, 10
2023/3/20, 24, 23, 20, 2, 10
2023/3/21, 31, 24, 20, 3, 6
2023/3/22, 33, 22, 19, 3, 1
2023/3/23, 30, 19, 22, 3, 1
2023/3/24, 21, 18, 25, 4, 1
2023/3/25, 22, 18, 26, 3, 1
2023/3/26, 22, 22, 18, 3, 1
2023/3/27, 25, 25, 22, 2, 1
2023/3/28, 28, 28, 23, 2, 1
2023/3/29, 32, 26, 23, , 1
2023/3/30, 30, 27, 24, , 1
2023/3/31, 35, 30, 28, , 1
2023/7/15, , 15, 9, 3, 4
2023/2/9, , 45, 15, 4, 
2023/2/28, , 36, 31, 5, 11
2023/3/10, , 49, 38, 5, 11
